veh_id,Start_Date,Status,Logged status,Total_Dist_Covered(km),Avg_Run_Time,Fuel Level,Lubricants_last_changed,Lubricant_due_date,Tyre_pressure(PSI),Battery_change_Date,Battery_change_due_date,Brakes,Temperature,Vibration,Coolant_level,Total_Work_order_Received,Total_Work_Order_Completed,Service_Required
1001,1/1/2013,Active,Yes,2034,120,Medium,11/1/2020,8/28/2021,93,1/1/2017,1/1/2022,OK,Moderate,Low,Moderate,600,589,Yes
1002,2/1/2014,Inactive,Yes,1245,242,Low,1/1/2021,10/28/2021,100,10/1/2021,10/1/2026,OK,Moderate,Low,Moderate,459,450,No
1003,3/1/2015,Inactive,Yes,3458,342,Low,3/1/2021,12/26/2021,94,3/1/2015,3/1/2020,NOT OK,High,High,Low,700,600,Yes
1004,2/1/2012,Active,Yes,3034,103,Medium,4/1/2021,1/26/2022,97,6/1/2018,6/1/2023,OK,Low,High,High,560,560,Yes
1005,7/1/2014,Active,Yes,2098,67,High,12/1/2020,9/27/2021,98,12/1/2020,12/1/2025,NOT OK,Low,Moderate,High,700,687,Yes
1006,12/1/2013,Active,Yes,1908,34,High,3/1/2021,12/26/2021,100,1/1/2019,1/1/2024,NOT OK,Moderate,Low,Moderate,600,590,Yes
1007,3/1/2015,Active,Yes,5032,89,High,5/1/2021,2/25/2022,101,2/1/2015,2/1/2020,OK,Moderate,High,Moderate,589,570,Yes
1008,4/1/2017,Active,Yes,4022,43,High,7/1/2021,4/27/2022,104,4/1/2017,4/1/2022,NOT OK,High,Low,Low,800,772,Yes
1009,10/1/2014,Active,Yes,1044,23,High,1/1/2021,10/28/2021,75,11/1/2019,11/1/2024,OK,Low,Low,High,569,520,Yes
1010,12/1/2016,Active,Yes,2033,56,High,4/1/2021,1/26/2022,0,12/1/2016,12/1/2021,OK,Low,Low,High,300,200,Yes
1011,9/1/2013,Inactive,Yes,3022,60,High,5/1/2021,2/25/2022,110,10/1/2020,10/1/2025,OK,Low,High,High,589,529,No
1012,3/1/2018,Active,Yes,3002,80,High,3/1/2021,12/26/2021,98,3/1/2018,3/1/2023,NOT OK,Moderate,Moderate,Moderate,492,450,No
1013,6/1/2018,Active,Yes,1653,110,Medium,12/1/2020,9/27/2021,94,6/1/2018,6/1/2023,NOT OK,High,Moderate,Low,630,598,Yes
1014,12/1/2015,Active,Yes,2034,60,High,2/1/2021,11/28/2021,103,1/1/2021,1/1/2026,OK,Moderate,Moderate,Moderate,542,534,No
1015,12/1/2015,Active,Yes,3028,120,Medium,3/1/2021,12/26/2021,108,2/1/2021,2/1/2026,OK,Low,High,High,567,560,No
1016,10/1/2015,Inactive,Yes,2394,150,Medium,7/1/2021,4/27/2022,120,10/1/2015,10/1/2020,OK,Low,Low,High,763,750,No
1017,11/1/2016,Active,Yes,3004,180,Low,12/1/2020,9/27/2021,100,11/1/2016,11/1/2021,OK,Moderate,Low,Moderate,300,300,Yes
1018,10/1/2019,Inactive,Yes,2345,170,Low,11/1/2020,8/28/2021,103,10/1/2019,10/1/2024,OK,Moderate,High,Moderate,987,950,Yes
